course_id,university,program_name,program_name_en,program_code,degree_level,course_code,course_name_original,course_name_en,credits,component,semester,description,description_en,prerequisites,assessment,academic_year,source_url,source_language,notes
NPUA-0001,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ճարտ. և համակարգչային գրաֆիկա,,2,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0002,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կիրառական մեխանիկա,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0003,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ընդհանուր էլեկտրատեխնիկա,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0004,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթեմատիկական անալիզ 3,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0005,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,MATLAB ծրագրային փաթեթ 1,,3,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0006,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Դիֆ. հավասարումներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0007,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կոմպլեքս անալիզ,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0008,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Հավանականությունների տեսություն և մաթ. վիճակագրություն 1,2",,6,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0009,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթ.ֆիզ. հավասարումներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0010,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ֆունկցիոնալ անալիզ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0011,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Մաթեմատիկական տրամաբանություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0012,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ալգորիթմների տեսություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0013,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Դիսկրետ մաթեմատիկա 1,2",,9,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0014,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Մաթեմատիկական ծրագրավորում 1,2",,10,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0015,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Թվային մեթոդներ 1,2",,10,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0016,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կիրառական դիֆերենցիալ երկրաչափություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0017,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Կոդավորման տեսություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0018,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ինֆորմացիայի կիրառական տեսություն,,4,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0019,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,"Ծրագրավորման հիմունքներ 5,6",,11,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0020,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Web ծրագրավորում,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0021,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,ԷՀՄ ճարտարապետություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0022,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Ծրագրավորման տեխնոլոգիաներ,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0023,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Համակարգային ծրագրավորում,,6,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0024,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Օպերացիոն համակարգեր,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0025,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Քոմփյութերային երկրաչափություն,,5,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0026,National Polytechnic University of Armenia,Informatics (Computer Science),Informatics (Computer Science),,Bachelor,,Տվյալների բազաներ,,3,,,,,,,2025/2026,https://polytech.am/edu/computer_science/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0027,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Տվյալների կառուցվածքներ և Ալգորիթմներ,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0028,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Կիրառական ծրագրեր,,3,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0029,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,"Դիսկրետ մաթեմատիկա, ալգորիթմներ և ծրագրեր",,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0030,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Մարդ-մեքենա փոխգործակցություն,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0031,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Web տեխնոլոգիաներ,,12,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0032,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Տվյալների բազաների կառավարման համակարգեր,,11,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0033,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Ճարտարագիտական մոդելավորում,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0034,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,ՏՏ-ի սոցիալական և էթիկական հարցերը,,2,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0035,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Ցանցային տեխնոլոգիաների կառավարում և կարգաբերում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0036,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,ՏՏ ռեսուրսների պլանավորում,,4,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0037,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Պլատֆորմային Տեխնոլոգիաներ,,4,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0038,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Օպերացիոն համակարգերի կարգաբերում և օգտագործում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0039,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Մուլտիմեդիա տեխնոլոգիաներ,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0040,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Տեխնիկական աջակցություն,,3,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0041,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,"Անվտանգություն ներդրում, Կառավարում",,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0042,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,SEO -որոնման համակարգի Օպտիմալացում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0043,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,WEB տեխնոլոգիաներ,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0044,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Մոբայլ տեխնոլոգիաներ,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0045,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Ինտեգրման միջոցով համակարգերի մշակում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0046,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Համակարգերի կառավարում,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0047,National Polytechnic University of Armenia,Information Technologies,Information Technologies,,Bachelor,,Տվյալների բազաների կառավարման համակարգեր,,6,,,,,,,2025/2026,https://polytech.am/edu/information_technologies-2/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0048,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Հաշվողական համակարգերի թվաբանական և տրամաբանական հիմունքներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0049,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Թվային սխեմաների նախագծման հիմունքներ,,3,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0050,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային սխեմատեխնիկա,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0051,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Թվային համակարգերի նախագծում,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0052,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Քոմփյութերների կազմակերպում,,1,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0053,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Հաշվողական համակարգերի Ճարտարապետություն,,7,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0054,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Հաշվողական համակարգերի արատորոշում,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0055,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ցանցերի հիմունքներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0056,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ինտեգրալ սխեմաներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0057,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ցանցերի կազմակերպում,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0058,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Ցանցային օպերացիոն համակարգեր,,3,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0059,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Միկրոպրոցեսորային համակարգեր,,5,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0060,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային մասնագիտացված սխեմաներ,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0061,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Ծրագրավորվող սարքերով հաշվողական համակարգերի նախագծում,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0062,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Տեղեկատվության պահպանման և ցանցային շրջանառման տեխնոլոգիաներ,,5,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0063,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ցանցերի մասնագիտացված օպերացիոն համակարգեր,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0064,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Էլեկտրոնային կառավարման ցանցային Համակարգեր,,6,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0065,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ցանցերի պաշտպանության ապարատածրագրային միջոցներ,,5,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0066,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Բազմապրոցեսորային համակարգեր,,5,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0067,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգիչների սնուցման երկրորդական աղբյուրների կազմակերպում,,4,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0068,National Polytechnic University of Armenia,Computer Engineering,Computer Engineering,,Bachelor,,Համակարգչային ցանցերի կառավարում և շահագործում,,5,,,,,,,2025/2026,https://polytech.am/edu/computer-engineering/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0069,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Ինֆորմատիկայի մաթեմատիկական Հիմունքներ,,4,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0070,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Ավտոմատների կիրառական տեսություն,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0071,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Թվերի տեսություն,,3,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0072,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Հաշվողական համակարգերի ծրագրային ապահովում և ճարտարապետություն,,7,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0073,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Համակարգային ծրագրավորում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0074,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Օպերացիոն համակարգեր,,8,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0075,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Տեղեկատվության գաղտնագրային և թաքնագրային պաշտպանություն,,13,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0076,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Տվյալների բազաների նախագծման տեխնոլագիաներ և պաշտպանություն,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0077,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Քոմփյութերային ցանցերի կազմակերպում և պաշտպանություն,,8,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0078,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Ծրագրավորման տեխնոլոգիա,,10,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0079,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Հաշվողական համակարգերի հակավիրուսային պաշտպանություն,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0080,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Օբյեկտ-կողմնորոշված և կոմպոնենտային ծրագրավորում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0081,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Տվյալների պաշտպանությունը չարտոված մուտքերից,,6,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0082,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Ցանցային կիրառությունների ծրագրային ապահովում,,4,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0083,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Ծրագրերի թեստավորում,,5,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0084,National Polytechnic University of Armenia,Information Security,Information Security,,Bachelor,,Տեղեկատվական անվտանգության ռիսկերի կառավարում,,6,,,,,,,2025/2026,https://polytech.am/edu/information_security/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0085,National Polytechnic University of Armenia,Information Systems,Information Systems,,Bachelor,,Կառավարման տեղեկատվական համակարգեր,,1,,,,,,,2025/2026,https://polytech.am/edu/information_systems/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0086,National Polytechnic University of Armenia,Information Systems,Information Systems,,Bachelor,,Հաշվողական մեթոդների կիրառական տեսություն,,11,,,,,,,2025/2026,https://polytech.am/edu/information_systems/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
NPUA-0087,National Polytechnic University of Armenia,Information Systems,Information Systems,,Bachelor,,Ինֆորմացիայի կիրառական տեսություն,,3,,,,,,,2025/2026,https://polytech.am/edu/information_systems/,Armenian,"npua_scrape: captured from public course list page; limited_metadata: source exposed course titles and credits only; no descriptions, prerequisites, or course codes"
